replacement,ipc_mean,ipc_std
belady,0.36785,0.08726428400267774
bip,0.3667906,0.08644271893456383
drrip,0.3667906,0.08644271893456383
fifo,0.3663672,0.08618070472965514
lfu,0.36909040000000004,0.08748935696586184
lru,0.366987,0.08665668963501894
