replacement,access,hit,miss,mpki
belady,21216402,12530824,8685578,6.9484623999999995
bip,21239740,14200882,7038858,5.6310864
drrip,21239740,14200882,7038858,5.631086399999999
fifo,21166857,14007941,7158916,5.7271328
lfu,21250677,12555148,8695529,6.956423199999999
lru,21204066,14172660,7031406,5.6251248
