trace_num,replacement,speedup
024,lfu,1.0069555853460213
028,lru,1.0
028,fifo,0.9966588850641288
021,lru,1.0
028,drrip,0.998626627244377
024,bip,0.999164890227018
028,bip,0.998626627244377
022,drrip,1.0001782952788139
022,fifo,0.9991485490766852
026,lru,1.0
021,fifo,1.000635921959657
021,lfu,1.0026308999930957
022,belady,1.004319112162285
026,drrip,0.9995558235445742
024,lru,1.0
021,belady,1.0017878491665788
026,bip,0.9995558235445742
028,lfu,1.0022080191816924
021,drrip,1.0003088763804049
022,lru,1.0
022,bip,1.0001782952788139
026,fifo,0.9979678351806164
026,lfu,1.0083588025186876
021,bip,1.0003088763804049
024,belady,1.0076368591081908
026,belady,1.0043128843392126
022,lfu,1.0077249158555446
024,fifo,0.9981627584994396
028,belady,0.9931381946850728
024,drrip,0.999164890227018
