replacement,access,hit,miss,mpki
belady,20655431,16044056,4611375,3.6891
bip,20605669,16153036,4452633,3.5621064000000002
drrip,20605669,16153036,4452633,3.5621064000000002
fifo,20571846,15924139,4647707,3.7181656
lfu,20682408,16076931,4605477,3.6843815999999996
lru,20594580,16132726,4461854,3.5694832000000005
