replacement,avg_latency_mean,avg_latency_std
belady,35.6913,3.827820363470575
bip,40.52368,3.670865832743006
drrip,40.52368,3.670865832743006
fifo,40.164120000000004,3.7174708105108247
lfu,35.65728,3.767583543466554
lru,40.57592,3.7291708122584013
